 t	 x	 y	 z	 w
0.0000 1.0000 1.0000 1.0000 1.0000
0.0100 0.9970 0.9997 0.9998 0.9998
0.0200 0.9880 0.9989 0.9991 0.9991
0.0300 0.9731 0.9975 0.9980 0.9981
0.0400 0.9526 0.9956 0.9964 0.9966
0.0500 0.9270 0.9931 0.9944 0.9947
0.0600 0.8965 0.9901 0.9919 0.9924
0.0700 0.8616 0.9865 0.9890 0.9896
0.0800 0.8231 0.9825 0.9857 0.9865
0.0900 0.7814 0.9779 0.9819 0.9829
0.1000 0.7372 0.9728 0.9777 0.9790
0.1100 0.6911 0.9672 0.9731 0.9747
0.1200 0.6437 0.9611 0.9681 0.9699
0.1300 0.5958 0.9545 0.9627 0.9648
0.1400 0.5479 0.9474 0.9569 0.9593
0.1500 0.5005 0.9399 0.9507 0.9534
0.1600 0.4542 0.9320 0.9441 0.9472
0.1700 0.4094 0.9236 0.9371 0.9406
0.1800 0.3665 0.9148 0.9298 0.9336
0.1900 0.3259 0.9056 0.9221 0.9263
0.2000 0.2877 0.8959 0.9140 0.9187
0.2100 0.2521 0.8860 0.9057 0.9107
0.2200 0.2194 0.8756 0.8969 0.9024
0.2300 0.1894 0.8649 0.8879 0.8937
0.2400 0.1623 0.8538 0.8785 0.8848
0.2500 0.1380 0.8424 0.8688 0.8755
0.2600 0.1163 0.8307 0.8588 0.8659
0.2700 0.0972 0.8187 0.8485 0.8560
0.2800 0.0805 0.8064 0.8379 0.8458
0.2900 0.0661 0.7938 0.8270 0.8354
0.3000 0.0536 0.7809 0.8159 0.8246
0.3100 0.0431 0.7677 0.8044 0.8136
0.3200 0.0341 0.7543 0.7927 0.8023
0.3300 0.0266 0.7407 0.7808 0.7908
0.3400 0.0204 0.7268 0.7685 0.7791
0.3500 0.0153 0.7127 0.7561 0.7671
0.3600 0.0110 0.6984 0.7434 0.7549
0.3700 0.0076 0.6839 0.7305 0.7425
0.3800 0.0048 0.6691 0.7173 0.7299
0.3900 0.0025 0.6542 0.7040 0.7171
0.4000 0.0007 0.6390 0.6905 0.7041
0.4100 -0.0009 0.6237 0.6768 0.6910
0.4200 -0.0021 0.6082 0.6629 0.6778
0.4300 -0.0032 0.5926 0.6488 0.6644
0.4400 -0.0041 0.5767 0.6346 0.6509
0.4500 -0.0049 0.5607 0.6203 0.6373
0.4600 -0.0057 0.5445 0.6059 0.6236
0.4700 -0.0064 0.5282 0.5913 0.6098
0.4800 -0.0070 0.5118 0.5767 0.5960
0.4900 -0.0076 0.4952 0.5620 0.5821
0.5000 -0.0083 0.4785 0.5472 0.5682
0.5100 -0.0089 0.4616 0.5324 0.5542
0.5200 -0.0095 0.4447 0.5176 0.5402
0.5300 -0.0102 0.4276 0.5028 0.5262
0.5400 -0.0108 0.4105 0.4879 0.5122
0.5500 -0.0115 0.3933 0.4731 0.4982
0.5600 -0.0121 0.3760 0.4583 0.4842
0.5700 -0.0128 0.3586 0.4436 0.4702
0.5800 -0.0135 0.3412 0.4290 0.4563
0.5900 -0.0142 0.3237 0.4144 0.4424
0.6000 -0.0149 0.3063 0.3999 0.4286
0.6100 -0.0157 0.2888 0.3856 0.4149
0.6200 -0.0164 0.2713 0.3713 0.4013
0.6300 -0.0171 0.2539 0.3572 0.3877
0.6400 -0.0179 0.2365 0.3433 0.3743
0.6500 -0.0186 0.2192 0.3295 0.3610
0.6600 -0.0194 0.2020 0.3158 0.3478
0.6700 -0.0201 0.1848 0.3024 0.3347
0.6800 -0.0209 0.1678 0.2891 0.3218
0.6900 -0.0217 0.1510 0.2761 0.3091
0.7000 -0.0224 0.1343 0.2633 0.2966
0.7100 -0.0232 0.1178 0.2506 0.2843
0.7200 -0.0240 0.1015 0.2382 0.2722
0.7300 -0.0248 0.0854 0.2261 0.2603
0.7400 -0.0255 0.0696 0.2142 0.2486
0.7500 -0.0263 0.0541 0.2025 0.2372
0.7600 -0.0271 0.0388 0.1911 0.2261
0.7700 -0.0278 0.0239 0.1799 0.2152
0.7800 -0.0286 0.0094 0.1690 0.2046
0.7900 -0.0293 -0.0048 0.1584 0.1943
0.8000 -0.0301 -0.0186 0.1481 0.1843
0.8100 -0.0308 -0.0321 0.1380 0.1746
0.8200 -0.0316 -0.0450 0.1282 0.1652
0.8300 -0.0323 -0.0576 0.1188 0.1562
0.8400 -0.0331 -0.0697 0.1096 0.1474
0.8500 -0.0338 -0.0813 0.1008 0.1390
0.8600 -0.0345 -0.0924 0.0923 0.1310
0.8700 -0.0352 -0.1030 0.0841 0.1233
0.8800 -0.0359 -0.1131 0.0763 0.1159
0.8900 -0.0366 -0.1227 0.0688 0.1089
0.9000 -0.0373 -0.1317 0.0617 0.1023
0.9100 -0.0380 -0.1402 0.0550 0.0960
0.9200 -0.0387 -0.1481 0.0486 0.0901
0.9300 -0.0394 -0.1554 0.0426 0.0845
0.9400 -0.0400 -0.1622 0.0370 0.0794
0.9500 -0.0407 -0.1684 0.0318 0.0746
0.9600 -0.0414 -0.1741 0.0270 0.0702
0.9700 -0.0420 -0.1791 0.0227 0.0662
0.9800 -0.0427 -0.1836 0.0187 0.0625
0.9900 -0.0433 -0.1876 0.0152 0.0593
1.0000 -0.0440 -0.1909 0.0121 0.0564
1.0100 -0.0446 -0.1937 0.0095 0.0540
1.0200 -0.0452 -0.1959 0.0074 0.0520
1.0300 -0.0459 -0.1976 0.0056 0.0503
1.0400 -0.0465 -0.1988 0.0044 0.0491
1.0500 -0.0472 -0.1994 0.0036 0.0483
1.0600 -0.0478 -0.1995 0.0032 0.0479
1.0700 -0.0484 -0.1991 0.0034 0.0480
1.0800 -0.0491 -0.1982 0.0040 0.0484
1.0900 -0.0498 -0.1968 0.0050 0.0493
1.1000 -0.0505 -0.1949 0.0065 0.0507
1.1100 -0.0512 -0.1926 0.0085 0.0524
1.1200 -0.0520 -0.1899 0.0109 0.0545
