 t	 x	 y	 z	 w
0.0000 1.0000 1.0000 1.0000 1.0000
0.0100 0.9968 0.9998 0.9999 0.9999
0.0200 0.9871 0.9991 0.9996 0.9998
0.0300 0.9713 0.9979 0.9990 0.9995
0.0400 0.9495 0.9963 0.9983 0.9991
0.0500 0.9222 0.9942 0.9973 0.9986
0.0600 0.8898 0.9916 0.9962 0.9979
0.0700 0.8530 0.9886 0.9948 0.9972
0.0800 0.8123 0.9852 0.9932 0.9964
0.0900 0.7684 0.9813 0.9915 0.9955
0.1000 0.7221 0.9770 0.9895 0.9945
0.1100 0.6740 0.9723 0.9874 0.9934
0.1200 0.6248 0.9673 0.9852 0.9923
0.1300 0.5753 0.9618 0.9827 0.9910
0.1400 0.5260 0.9559 0.9802 0.9898
0.1500 0.4776 0.9497 0.9775 0.9885
0.1600 0.4306 0.9432 0.9746 0.9871
0.1700 0.3854 0.9363 0.9717 0.9857
0.1800 0.3424 0.9292 0.9686 0.9843
0.1900 0.3020 0.9217 0.9654 0.9828
0.2000 0.2644 0.9140 0.9622 0.9814
0.2100 0.2296 0.9060 0.9589 0.9800
0.2200 0.1979 0.8977 0.9555 0.9786
0.2300 0.1692 0.8892 0.9521 0.9772
0.2400 0.1434 0.8806 0.9486 0.9758
0.2500 0.1206 0.8717 0.9452 0.9744
0.2600 0.1004 0.8627 0.9417 0.9731
0.2700 0.0829 0.8535 0.9382 0.9719
0.2800 0.0677 0.8442 0.9347 0.9707
0.2900 0.0548 0.8347 0.9312 0.9696
0.3000 0.0438 0.8252 0.9278 0.9685
0.3100 0.0345 0.8156 0.9244 0.9675
0.3200 0.0268 0.8059 0.9210 0.9666
0.3300 0.0204 0.7962 0.9177 0.9658
0.3400 0.0152 0.7864 0.9145 0.9650
0.3500 0.0109 0.7766 0.9114 0.9644
0.3600 0.0075 0.7668 0.9083 0.9638
0.3700 0.0047 0.7571 0.9054 0.9633
0.3800 0.0024 0.7473 0.9025 0.9629
0.3900 0.0006 0.7376 0.8997 0.9626
0.4000 -0.0009 0.7280 0.8971 0.9623
0.4100 -0.0022 0.7184 0.8945 0.9622
0.4200 -0.0032 0.7089 0.8921 0.9621
0.4300 -0.0041 0.6995 0.8898 0.9621
0.4400 -0.0049 0.6902 0.8876 0.9622
0.4500 -0.0056 0.6811 0.8855 0.9624
0.4600 -0.0063 0.6720 0.8835 0.9626
0.4700 -0.0069 0.6631 0.8817 0.9629
0.4800 -0.0075 0.6544 0.8799 0.9632
0.4900 -0.0082 0.6458 0.8783 0.9637
0.5000 -0.0088 0.6373 0.8768 0.9641
0.5100 -0.0094 0.6290 0.8754 0.9646
0.5200 -0.0100 0.6209 0.8741 0.9652
0.5300 -0.0107 0.6130 0.8730 0.9658
0.5400 -0.0114 0.6052 0.8719 0.9664
0.5500 -0.0120 0.5976 0.8709 0.9670
0.5600 -0.0127 0.5901 0.8700 0.9677
0.5700 -0.0134 0.5829 0.8692 0.9684
0.5800 -0.0141 0.5758 0.8685 0.9691
0.5900 -0.0148 0.5688 0.8678 0.9698
0.6000 -0.0155 0.5620 0.8673 0.9705
0.6100 -0.0163 0.5554 0.8667 0.9712
0.6200 -0.0170 0.5489 0.8663 0.9719
0.6300 -0.0178 0.5426 0.8659 0.9726
0.6400 -0.0185 0.5363 0.8655 0.9733
0.6500 -0.0193 0.5302 0.8652 0.9740
0.6600 -0.0201 0.5242 0.8649 0.9747
0.6700 -0.0208 0.5183 0.8647 0.9754
0.6800 -0.0216 0.5125 0.8644 0.9761
0.6900 -0.0224 0.5067 0.8642 0.9767
0.7000 -0.0231 0.5010 0.8640 0.9774
0.7100 -0.0239 0.4954 0.8638 0.9780
0.7200 -0.0247 0.4898 0.8636 0.9786
0.7300 -0.0255 0.4842 0.8634 0.9792
0.7400 -0.0263 0.4786 0.8632 0.9798
0.7500 -0.0270 0.4730 0.8630 0.9804
0.7600 -0.0278 0.4674 0.8628 0.9810
0.7700 -0.0286 0.4617 0.8626 0.9816
0.7800 -0.0293 0.4561 0.8624 0.9821
